266232,223296,23214,2347
466840,303956,30818,2221
480360,407560,39276,2102
246072,528600,46781,1990
102580,413280,52087,1883
62816,103292,54865,1782
44480,23389,53846,1687
33209,16156,46168,1597
26629,14550,29624,1511
23684,16684,14019,1430
20933,20862,4766,1354
20035,25774,1299,1281
24202,31590,340,1213
39957,39036,129,1148
53236,46592,67,1087
43016,53412,62,1028
32613,53788,53,973
44496,45072,46,921
50104,37020,2,872
14401,28324,57,825
3200,14677,59,781
1506,9444,54,739
942,6510,0,700
610,5149,28,662
442,4345,5,627
368,3750,86,593
320,3227,30,562
294,2795,87,532
278,2408,0,503
276,2052,35,476
290,1794,103,451
314,1540,0,427
348,1326,0,404
390,1102,0,382
446,1116,0,362
518,1405,0,342
